GIACR,German Orthography 1,German Orthography 2,Formats,Notes,Source
Harre,Harre,,1,,
Hartung,Hartung,,1,,
Hassfurther,Haßfurther,,1,,
Hattmann,Hattmann,,1,,
Haueisen,Haueisen,,1,,
Hauser,Hauser,,1,,
Hebern,Hebern,,1,,
Heddrich,Heddrich,,1,,
Hegemaier,Hegemaier,,1,,
Hehmann,Hehmann,,1,,
Hehnholz,Hehnholz,,1,,
Heid,Heid,,1,,
Heidenreich,Heidenreich,,1,,
Heidland,Heidland,,1,,
Heidland,Heidland,,1,,
Heim,Heim,,1,,
Heimbrok,Heimbrok,,1,,
Heine,Heine,,1,,
Heinecke,Heinecke,,1,,
Heineke,Heineke,,1,,
Heinemann,Heinemann,,1,,
Heinig,Heinig,,1,,
Heinkel,Heinkel,,1,,
Heintzemann,Heintzemann,,1,,
Heinz,Heinz,,1,,
Heinz,Heinz,,1,,
Heischke,Heischke,,1,,
Held,Held,,1,,
Hellge,Hellge,,1,,
Henke,Henke,,1,,
Henn,Henn,,1,,
Henning,Henning,,1,,
Hense,Hense,,1,,
Hensick,Hensick,,1,,
Hepple,Hepple,,1,,
Herget,Herget,,1,,
Hermann,Hermann,,1,,
Hermuting,Hermuting,,1,,
Herold,Herold,,1,,
Hertaus,Hertaus,,1,,
Herwig,Herwig,,1,,
Heugle,Heugle,,1,,
Heusner,Heusner,,1,,
Hinrichs,Hinrichs,,1,,
Hintebrock,Hintebrock,,1,,
Hirschmann,Hirschmann,,1,,
Hiske,Hiske,,1,,
Hoehn,Höhn,,1,,
Hoehnefeld,Höhnefeld,,1,,
Hoelzel,Hölzel,,1,,
Hoepfner,Höpfner,,1,,
Hoermann,Hörmann,,1,,
Hoffman,Hoffman,,1,,
Hoffmann,Hoffmann,,1,,
Hogendahl,Hogendahl,,1,,
Hohlt,Hohlt,,1,,
Holl,Holl,,1,,
Hollaender,Holländer,,1,,
Holle,Holle,,1,,
Holz,Holz,,1,,
Holzkamp,Holzkamp,,1,,
Hoppe,Hoppe,,1,,
Horstmann,Horstmann,,1,,
Horter,Horter,,1,,
Hottes,Hottes,,1,,
Huber,Huber,,1,,
Huecker,Hücker,,1,,
Huis,Huis,,1,,
Huntebrinker,Huntebrinker,,1,,
Husemann,Husemann,,1,,
Huth,Huth,,1,,
Isensee,Isensee,,1,,
Jaeck,Jäck,,1,,
Jaeger,Jäger,,1,,
Jahreis,Jahreis,,1,,
Johannes,Johannes,,1,,
Juch,Juch,,1,,
Jung,Jung,,1,,
Kaemper,Kämpfer,,1,,
Kaesemann,Käsemann,,1,,
Kahl,Kahl,,1,,
Kahlbaum,Kahlbaum,,1,,
Kahle,Kahle,,1,,
Kaiser,Kaiser,,1,,
Kalb,Kalb,,1,,
Kallowe,Kallowe,,1,,
Kaltwasser,Kaltwasser,,1,,
Kamp,Kamp,,1,,
Kansteiner,Kansteiner,,1,,
Kassel,Kassel,,1,,
Kasten,Kasten,,1,,
Kastrup,Kastrup,,1,,
Katzung,Katzung,,1,,
Kaupmann,Kaupmann,,1,,
Kehm,Kehm,,1,,
Keil,Keil,,1,,
Kemper,Kemper,,1,,
Kerding,Kerding,,1,,
Kerls,Kerls,,1,,
Kern,Kern,,1,,
Kesemann,Kesemann,,1,,
Kesten,Kesten,,1,,
Keston,Keston,,1,,
Kettler,Kettler,,1,,
Kiefner,Kiefner,,1,,
Kienker,Kienker,,1,,
Kienzle,Kienzle,,1,,
Kiesling,Kiesling,,1,,
Kimmel,Kimmel,,1,,
Kindermann,Kindermann,,1,,
Klaus,Klaus,,1,,
Klein,Klein,,1,,
Kleinen,Kleinen,,1,,
Kleinschmidt,Kleinschmidt,,1,,
Klie,Klie,,1,,
Kliern,Kliern,,1,,
