"Burgholzhausen, Sachsen (province) [?]"
"Burgstadt, Germany"
"Burgstädt, Sachsen (kingdom)"
"Burkhards, Hessen"
"Burlafingen, Bayern"
"Burrweiler, Bayern"
"Bürstadt, Hessen"
"Busbach, Bayern"
"Buschsal [?], Hessen"
"Bussingen [?], Hessen-Nassau [?]"
"Butke [?], Waldeck"
"Cammin, Pommern"
"Cannstadt [?], Bayern"
"Cannstadt [?], Württemberg"
"Cannstatt, Stuttgart, Württemberg"
"Cappel [?], Detmold, Lippe"
"Casberg [?], Baden"
"Cassel (district) [?], Hessen-Nassau"
"Cassel [?], Pfalz, Bayern"
"Cassel, Hessen-Nassau"
"Celle, Hannover"
"Charlottenberg, Preußen"
"Chodziesen, Posen"
"Chur, Graubünden, Switzerland"
"Coblenz, Rheinprovinz"
"Coburg, Sachsen-Coburg-Gotha"
"Cohweitz, Claus, Rüden, Germany"
"Collbach, Hessen"
"Cölln, Germany"
"Colmar [?], Elsaß-Lothringen"
"Colmar, Elsaß-Lothringen"
"Corbach, Kreis des Eisenberges, Waldeck"
"Corden, Franduradt [?], Switzerland [?]"
"Cottbus, Brandenburg"
"Crailsheim [?], Württemberg"
"Creglingen, Württemberg"
"Cumbach [?], Germany"
"Cuntin [?], Bunzlau, Schlesien"
"Däezberg, Hessen"
"Daffen [?], Bern, Switzerland"
"Dainrode, Hessen-Nassau"
"Damm, Berlin, Brandenburg"
"Damme, Oldenburg"
"Damme, Oldenburg [?]"
"Damsbrück, Brandenburg"
"Danietz, Germany"
"Danne [?], Preußen"
"Dannigen, Emmendingen, Baden"
"Danzig, Westpreußen"
Darmstadt
"Darmstadt, Hessen"
"Darmstadt, Hessen [?]"
"Davos, Graubünden, Switzerland"
"Deckenbach, Hessen"
"Dedesdorf, Oldenburg"
"Deetz [?], Preußen"
"Deewe [?], Preußen"
"Degerloch, Württemberg"
"Deidesheim, Bayern"
"Deinfeld, Bayern"
"Deisel, Hessen-Nassau"
"Deitz [?], Preußen"
"Dellfort [?], Hannover"
"Delligsen, Braunschweig"
"Deln [?], Hannover"
"Demmingen [?], Württemberg [?]"
Demple [?]
"Denkershausen, Hannover"
"Densberg, Hessen-Nassau"
"Densbüren, Aargau, Switzerland"
"Denschbüren [?], Aargau, Switzerland"
"Denspüren [?], Aargau, Switzerland"
"Dentel [?], Preußen"
"Denzberg, Wezlar, Germany"
"Denzlingen, Baden"
"Derendingen, Tübingen, Württemberg"
"Derendingen, Württemberg"
"Detern [?], Hannover"
"Detmold, Lippe"
"Dettelbach, Bayern"
Dettlingsweiler [?]
"Deute, Hessen-Nassau"
"Deuz, Arnsberg, Westfalen"
"Dickel, Diepholz, Hannover"
"Dieburg [?], Hessen"
"Diede [?], Braunschweig"
"Diedesfeld, Bayern"
"Diehlo [?], Brandenburg"
"Diehlsheim [?], Hessen"
"Dielingen, Lübbecke, Westfalen"
"Dielingen, Rahden, Lübbecke, Minden, Westfalen"
"Dielingen, Westfalen"
"Diemerode [?], Hessen-Nassau"
"Diepenau, Stolzenau, Hannover"
"Diepholz (county), Hannover"
"Diepholz, Diepholz, Hannover"
"Diepholz, Hannover"
"Diepholz, Hannover [?]"
"Diesbach [?], Switzerland"
"Diessenhofen, Thurgau, Switzerland"
"Diesten [?], Hannover"
"Diesten, Hannover [?]"
"Dietersweiler [?], Freudenstadt, Württemberg"
"Dietlingen, Pforzheim, Baden"
"Dietzenbach, Darmstadt, Hessen"
"Dietzenbach, Hessen"
"Dietzhausen [?], Sachsen (province)"
"Dilingen [?] (district), Preußen"
"Dillingen [?], Bayern"
"Dillingen, Bayern"
"Dinkelsbühl [?], Bayern"
"Dinklar, Hannover [?]"
"Dippelerhausen [?], Hessen"
"Dirbaamgin [?], Bayern"
"Dirnau, Mühlhausen, Bayern"
"Dischendorf [?], Reus [?]"
"Dischtschenendorf [?], Sachsen (kingdom or province) [?]"
"Dissen [?] (district), Hannover"
"Dissen [?], Hannover"
"Dissen, Hannover"
"Dissen, Iburg, Hannover"
"Dissen, Osnabrück, Hannover"
"Ditschendorf [?], Sachsen"
"Ditschendorf, Germany"
"Dittelsheim, Büdingen, Hessen"
"Dittelsheim, Darmstadt, Hessen"
"Dittelsheim, Hessen"
"Ditzenbach, Württemberg [?]"
"Ditzendorf [?], K [?], Dresden, Sachsen (kingdom) [?]"
"Dizeldorf [?], Lobenstein, Reuß-jüngere Linie"
"Dobel, Neuenbürg, Württemberg"
"Döffelsachsen [?], Weinheim, Hessen"
Doffend [?]
"Döggingen [?], Baden"
"Döhlau, Bayern"
"Döhlau, Bayreuth, Bayern"
"Dohren, Hannover"
"Döhren, Hannover"
"Domsdarda, Vormholz [?], Westfalen"
"Döringhausen, Westfalen [?]"
"Dornstetten, Württemberg"
"Dörpe, Hannover"
"Döttingen, Aargau, Switzerland"
"Dramburg, Pommern"
"Dramburg, Pommern [?]"
"Dramburg, Preußen"
"Dransfeld, Hannover"
"Drebber, Hannover"
"Dreieichenhain, Hessen"
"Dreifelden, Hessen-Nassau"
"Dreisau, Chatentsch [?], Hessen [?]"
"Dreisbach, Hessen-Nassau"
"Dreisbach, Marburg, Hessen-Nassau"
"Dreiskel [?], Hessen"
"Dresden, Sachsen (kingdom)"
"Dresen, Sachsen (kingdom)"
"Droyssig, Sachsen (province) [?]"
"Dudenrod, Hessen"
"Dudensen, Hannover"
"Duderstadt, Hannover"
"Dufstedt [?], Hannover"
"Duingen, Hannover"
"Duisburg, Rheinprovinz"
Dulensee [?]
"Dünne, Preußen [?]"
Dunzibach [?]
"Durbach, Baden"
"Dürhagen, Rheinprovinz [?]"
"Durmersheim, Baden"
"Dürrheim, Baden"
"Düsseldorf, Rheinprovinz"
Düsselthal [?]
"Dusslingen [?], Württemberg"
"Dustie, Mecklenburg-Schwerin"
"Ebbinghausen, Westfalen"
"Ebe [?], Freren, Hannover"
"Eberstadt, Darmstadt, Hessen"
"Eberstadt, Hessen"
"Ebeugen [?], Baden"
"Echlishausen [?], Bayern"
"Eckelshausen, Hessen-Nassau"
"Edenkoben, Landau, Pfalz, Bayern"
"Edenkoben, Pfalz, Bayern"
